Minutes	datetime	"Control_Status
1 - off
2 - cool
3 - heat"	"System_Mode
1 - off
2 - auto
3 - cool
4 - heat"	"Reversing_Valve_Status
0 - heating
1 - cooling"	Room_Temperature [F]	Ebtron_Return_Air_Temp [F]	Ebtron_Supply_Air_Temp [F]	Outside_Air_Temp [F]	Ebtron_Supply_Airflow [CFM]	Ebtron_Return_Airflow [CFM]	PRB-ActivePower28 [W]	PRB-ActivePower42 [W]	Total Power [W]	Stage_01_Output	Stage_02_Output	Default_Heating_Setpoint [F]	Heating_Setpoint_Limit [F]
0	44600.25	3	4	0	67.8	68.8	64.96	48.7	728.5	563.4	90.51110618	77.6906382	168.2017444	0	0	72	90
1	44600.25	3	4	0	67.8	68.76	64.9	48.1	740.2	564.8	90.13037142	77.25367723	167.3840487	0	0	72	90
2	44600.25	3	4	0	67.8	68.76	64.86	48.1	720.8	555.9	90.03987118	77.59270711	167.6325783	0	0	72	90
3	44600.25	3	4	0	67.8	68.73	64.83	48.3	738.8	565.6	484.3869781	422.121969	906.5089471	0	0	72	90
4	44600.25	3	4	0	67.8	68.69	64.85	48.9	735.5	566.9	961.2202805	912.346663	1873.566943	0	0	72	90
5	44600.25	3	4	0	67.7	68.68	70.3	48.7	706.9	556.7	1035.756382	969.9167852	2005.673167	1	1	72	90
6	44600.25	3	4	0	67.6	68.7	79.45	48.9	663.5	542.2	1061.142176	989.9585612	2051.100738	1	1	72	90
7	44600.25	3	4	0	67.5	69.01	83.86	49.1	654.2	538.3	632.3082682	587.2104235	1219.518692	1	1	72	90
8	44600.25	3	4	0	67.3	69.89	87.01	48.8	664.2	533.2	88.53691629	76.29340188	164.8303182	1	1	72	90
9	44600.25	3	4	0	67.4	70.83	84.46	48.9	689.9	535.8	471.2663294	415.7359233	887.0022527	0	0	72	90
10	44600.25	3	4	0	67.6	71.42	78.31	48.9	752	550.5	1015.534164	950.7367971	1966.270961	0	0	72	90
11	44600.26	3	4	0	67.8	71.45	79.57	49.2	747	549.4	1088.052599	1002.89662	2090.949219	1	1	72	90
12	44600.26	3	4	0	67.9	71.45	87.47	49.6	686.9	530.5	225.0251472	201.6532547	426.678402	1	1	72	90
13	44600.26	3	4	0	68	72.09	90.56	49.9	685.8	533.3	89.51885858	75.5668026	165.0856612	1	1	72	90
14	44600.26	3	4	0	68	72.87	83.94	49.6	730.3	540.7	862.6481748	779.0047439	1641.652919	0	0	72	90
15	44600.26	3	4	0	68.2	73.09	79.28	49.4	768.3	550.4	1068.936232	988.3390468	2057.275279	0	0	72	90
16	44600.26	3	4	0	68.4	72.91	85.16	49.4	734.6	546.5	529.4233413	483.6688492	1013.092191	1	1	72	90
17	44600.26	3	4	0	68.4	73.07	90.74	49.1	691	540.3	89.47734821	74.98542728	164.4627755	1	1	72	90
18	44600.26	3	4	0	68.4	73.72	88.29	49.5	729.6	530.4	589.9094014	521.9769242	1111.886326	0	0	72	90
19	44600.26	3	4	0	68.8	74.16	81.07	49.6	768.3	552.2	1057.666297	980.5808797	2038.247177	0	0	72	90
20	44600.26	3	4	0	68.8	73.98	83.58	49.7	750.7	547.8	664.5187171	608.9494643	1273.468181	1	1	72	90
21	44600.26	3	4	0	68.9	73.9	90.83	49.9	694.9	541.7	89.11102553	74.45936138	163.5703869	1	1	72	90
22	44600.26	3	4	0	68.9	74.47	90.1	49.6	707.2	545	503.959765	423.0560475	927.0158125	0	0	72	90
23	44600.26	3	4	0	69	74.83	82.09	49.4	769.7	551.5	1045.938552	972.1857356	2018.124288	0	0	72	90
24	44600.26	3	4	0	69.1	74.6	82.78	49.5	763.1	555.6	747.6263591	685.4386607	1433.06502	1	1	72	90
25	44600.27	3	4	0	69.4	74.39	90.29	49.5	706.8	544.4	89.0094385	74.62498641	163.6344249	1	1	72	90
26	44600.27	3	4	0	69.3	74.91	90.39	49.3	700	542.6	410.4859495	354.6367161	765.1226656	0	0	72	90
27	44600.27	3	4	0	69.4	75.36	82.98	49.4	769.2	554.7	1041.822191	968.677301	2010.499492	0	0	72	90
28	44600.27	3	4	0	69.4	75.12	82.29	49.1	766.7	558	734.9891374	675.7757351	1410.764872	1	1	72	90
29	44600.27	3	4	0	69.7	74.86	90.95	49.3	700.4	543	88.5190415	75.00888787	163.5279294	1	1	72	90
30	44600.27	3	4	0	69.6	75.27	90.37	49.4	706.2	543.3	416.8387901	357.6523805	774.4911706	0	0	72	90
31	44600.27	3	4	0	69.9	75.69	82.88	49.1	759.3	553.1	1043.568528	970.1633103	2013.731838	0	0	72	90
32	44600.27	3	4	0	70.1	75.44	82.48	49	759	553.9	736.9140135	676.5595619	1413.473575	1	1	72	90
33	44600.27	3	4	0	70.1	75.2	91.01	49.3	701.1	548	88.47249555	74.43012713	162.9026227	1	1	72	90
34	44600.27	3	4	0	70.3	75.61	91.02	49.8	702.4	539.4	408.7713675	356.9656587	765.7370261	0	0	72	90
35	44600.27	3	4	0	70.4	75.97	82.84	49.9	763.5	551.3	1046.990281	973.5141159	2020.504397	0	0	72	90
36	44600.27	3	4	0	70.4	75.74	82.6	49.7	767.5	560.2	739.8974273	679.6040766	1419.501504	1	1	72	90
37	44600.27	3	4	0	70.6	75.47	91.11	49.7	695.6	548.1	88.37221101	74.17565277	162.5478638	1	1	72	90
38	44600.27	3	4	0	70.5	75.91	90.37	50	709.2	548.6	446.1811601	367.1945715	813.3757317	0	0	72	90
39	44600.28	3	4	0	70.5	76.29	83.4	50.1	765.2	555.7	1054.753485	979.7076411	2034.461126	0	0	72	90
40	44600.28	3	4	0	70.6	76.03	83.69	50	757.4	557.1	743.7292997	680.3038495	1424.033149	1	1	72	90
41	44600.28	3	4	0	70.6	75.72	91.02	50.3	702.3	548.4	88.51213613	73.83780373	162.3499399	1	1	72	90
42	44600.28	3	4	0	70.6	76.05	90.85	50.5	715.6	541.4	423.3614692	361.1499497	784.5114189	0	0	72	90
43	44600.28	3	4	0	70.6	76.46	83.78	50.6	766.9	550.3	1060.908008	981.8851806	2042.793189	0	0	72	90
44	44600.28	3	4	0	70.7	76.27	83.59	50.7	750.2	552.2	749.2543561	684.176596	1433.430952	1	1	72	90
45	44600.28	3	4	0	70.7	75.97	91.99	51	704.7	549.5	89.02940426	74.38363649	163.4130408	1	1	72	90
46	44600.28	3	4	0	70.8	76.36	91.07	51.1	699.8	545	424.3405587	358.3819845	782.7225432	0	0	72	90
47	44600.28	3	4	0	70.9	76.76	83.82	51.1	767.1	553	1067.062115	985.9407608	2053.002876	0	0	72	90
48	44600.28	3	4	0	70.9	76.56	83.83	51.1	764.6	554.5	748.9141281	681.7401623	1430.65429	1	1	72	90
49	44600.28	3	4	0	71	76.21	92.66	51.2	702.7	549.7	89.18324103	74.51214329	163.6953843	1	1	72	90
50	44600.28	3	4	0	71	76.6	91.45	50.9	708	544.8	426.8965612	362.5833587	789.4799199	0	0	72	90
51	44600.28	3	4	0	71.1	77.07	84.24	50.5	763.3	555.1	1067.919749	986.0157965	2053.935545	0	0	72	90
52	44600.28	3	4	0	71.2	76.77	85	50.7	760.1	557.8	753.7720013	687.3291383	1441.10114	1	1	72	90
53	44600.28	3	4	0	71.1	76.42	92.6	50.8	704.1	547.8	89.18740063	73.71962815	162.9070288	1	1	72	90
54	44600.29	3	4	0	71.2	76.76	92.69	50.9	697.8	540.4	420.7403987	360.4996734	781.2400721	0	0	72	90
55	44600.29	3	4	0	71.2	77.25	84.22	50.7	773.8	550.6	1069.601135	988.8144501	2058.415585	0	0	72	90
56	44600.29	3	4	0	71.2	77.02	83.97	50.6	763.1	562.1	750.8264786	684.9767511	1435.80323	1	1	72	90
57	44600.29	3	4	0	71.3	76.66	92.91	50.7	694.8	547.6	89.24388503	73.96612411	163.2100091	1	1	72	90
58	44600.29	3	4	0	71.2	76.96	92.75	50.3	694.2	539.2	411.6650559	357.8791104	769.5441663	0	0	72	90
59	44600.29	3	4	0	71.3	77.42	84.39	50.5	767.5	556.6	1069.058748	988.4880849	2057.546833	0	0	72	90
60	44600.29	3	4	0	71.4	77.17	85.4	50.6	767.4	557.4	753.4969639	687.6288108	1441.125775	1	1	72	90
61	44600.29	3	4	0	71.4	76.84	93.12	50.5	695.9	545.3	89.08107968	74.0794651	163.1605448	1	1	72	90
62	44600.29	3	4	0	71.3	77.21	92.48	50.5	703.2	551.4	443.5808954	366.8421741	810.4230695	0	0	72	90
63	44600.29	3	4	0	71.3	77.59	84.52	50.3	767.4	549.8	1070.322832	989.9445561	2060.267388	0	0	72	90
64	44600.29	3	4	0	71.6	77.34	84.5	50.1	772.5	557.8	756.0188183	688.7762601	1444.795078	1	1	72	90
65	44600.29	3	4	0	71.6	76.98	92.97	50.3	705.1	552.7	88.85553237	73.83423082	162.6897632	1	1	72	90
66	44600.29	3	4	0	71.5	77.42	91.69	50.5	705.9	540.1	452.2571275	372.3164567	824.5735842	0	0	72	90
67	44600.29	3	4	0	71.5	77.75	84.94	50.4	761.3	559	1077.873057	994.1734563	2072.046513	0	0	72	90
68	44600.30	3	4	0	71.6	77.49	84.32	50.6	759.3	558.2	759.1887416	689.548745	1448.737487	1	1	72	90
69	44600.30	3	4	0	71.6	77.2	93.51	50.9	703.4	548	89.12099365	74.21629846	163.3372921	1	1	72	90
70	44600.30	3	4	0	71.6	77.58	92.02	50.8	716.3	546.7	423.3727254	360.7489541	784.1216794	0	0	72	90
71	44600.30	3	4	0	71.6	77.95	85.07	50.9	761.6	556.8	1077.850823	991.9079325	2069.758755	0	0	72	90
72	44600.30	3	4	0	71.7	77.68	84.6	50.6	756.8	558.3	761.5234909	692.1141963	1453.637687	1	1	72	90
73	44600.30	3	4	0	71.7	77.39	93.1	50.9	701.5	546.9	88.76496127	74.13418274	162.899144	1	1	72	90
74	44600.30	3	4	0	71.6	77.71	93.15	51.2	714	544.7	339.9996667	309.6643731	649.6640399	0	0	72	90
75	44600.30	3	4	0	71.7	78.18	85.07	51.2	764.2	555.4	1066.712742	983.8878871	2050.600629	0	0	72	90
76	44600.30	3	4	0	71.8	77.82	84.48	50.5	777.2	554.5	787.568009	717.8324469	1505.400456	1	1	72	90
77	44600.30	3	4	0	71.9	77.51	93.5	50.3	697.8	551.3	88.81539452	73.80054562	162.6159401	1	1	72	90
78	44600.30	3	4	0	71.8	77.91	93.24	50	713	546	336.8302136	306.1072455	642.9374592	0	0	72	90
79	44600.30	3	4	0	71.9	78.31	85.85	50.2	775.2	552.1	1064.078925	981.8770864	2045.956011	0	0	72	90
80	44600.30	3	4	0	72.1	77.99	84.37	50	751.1	564.2	789.4343526	719.0198556	1508.454208	1	1	72	90
81	44600.30	3	4	0	72.2	77.67	92.72	49.7	700.2	545.6	88.83986457	73.90930327	162.7491678	1	1	72	90
82	44600.30	3	4	0	72.2	78.05	94.16	49.7	705.9	541.3	327.1154258	297.582997	624.6984227	0	0	72	90
83	44600.31	3	4	0	72.2	78.46	85.97	49.9	763	557.7	1060.785963	981.2748682	2042.060832	0	0	72	90
84	44600.31	3	4	0	72.4	78.19	83.49	50	767.1	557.1	804.3373808	735.4630599	1539.800441	1	1	72	90
85	44600.31	3	4	0	72.4	77.78	92.65	49.5	705.2	549.5	89.02536224	72.98018945	162.0055517	1	1	72	90
86	44600.31	3	4	0	72.4	78.12	94.97	49.1	699.8	541.3	329.5203444	301.8250693	631.3454137	0	0	72	90
87	44600.31	3	4	0	72.5	78.55	85.69	48.9	768.7	561.7	1062.839497	983.6904989	2046.529996	0	0	72	90
88	44600.31	3	4	0	72.5	78.3	83.57	49.4	760.4	562	804.9241293	734.3844549	1539.308584	1	1	72	90
89	44600.31	3	4	0	72.7	77.96	92.55	49.5	701.3	549.1	88.78546126	73.80519168	162.5906529	1	1	72	90
90	44600.31	3	4	0	72.7	78.28	94.45	49.6	707	544.6	309.6097861	282.2871626	591.8969486	0	0	72	90
91	44600.31	3	4	0	72.8	78.69	85.69	49.7	771.1	552.3	1060.316786	981.8062673	2042.123053	0	0	72	90
92	44600.31	3	4	0	72.8	78.4	83.24	49.3	768.3	562.6	826.7473929	754.3939881	1581.141381	1	1	72	90
93	44600.31	3	4	0	73	78.08	92.36	49.5	699.6	545.7	89.06070048	74.05156459	163.1122651	1	1	72	90
94	44600.31	3	4	0	73	78.4	94.59	49.5	706.7	549.3	293.1000709	263.3468197	556.4468906	0	0	72	90
95	44600.31	3	4	0	73	78.79	85.73	49.1	764.8	560.2	1063.819604	984.4956233	2048.315228	0	0	72	90
96	44600.31	3	4	0	73.1	78.52	83.3	48.8	768.9	566.2	851.8433213	775.9063716	1627.749693	1	1	72	90
97	44600.32	3	4	0	73.1	78.17	92.11	49.4	697.2	551.4	89.21417662	73.93222338	163.1464	1	1	72	90
98	44600.32	3	4	0	73.2	78.44	95.19	50	698.1	544.4	250.4181111	224.5143824	474.9324935	0	0	72	90
99	44600.32	3	4	0	73.2	78.9	86.39	50	768.5	553	1064.09115	986.0696431	2050.160794	0	0	72	90
100	44600.32	3	4	0	73.2	78.64	83.25	50.3	777.2	564.1	910.5358094	830.2610603	1740.79687	1	1	72	90
101	44600.32	3	4	0	73.5	78.27	92.17	51.2	696.5	557.2	89.12523525	73.71323157	162.8384668	1	1	72	90
102	44600.32	3	4	0	73.3	78.53	95.88	51.3	695.6	542.4	147.9650729	127.8391772	275.8042501	0	0	72	90
103	44600.32	3	4	0	73.4	78.99	86.62	51.7	769.1	557.2	1044.905323	968.8783961	2013.783719	0	0	72	90
104	44600.32	3	4	0	73.6	78.82	83.32	51.8	783.7	558.5	1056.748089	962.3982885	2019.146377	1	1	72	90
105	44600.32	3	4	0	73.6	78.42	92	52.1	709.6	551.8	88.80357187	72.89197158	161.6955435	1	1	72	90
106	44600.32	3	4	0	73.7	78.65	96.5	51.8	681.2	539.7	89.48980812	73.91085769	163.4006658	0	0	72	90
107	44600.32	3	4	0	73.7	79.16	87.96	52.4	757.3	556	853.4620681	789.046911	1642.508979	0	0	72	90
108	44600.32	3	4	0	73.8	79.03	83.79	52.9	778.9	562.1	1157.385096	1055.381003	2212.7661	0	0	72	90
109	44600.32	3	4	0	73.8	78.67	90.2	53	721.9	554.3	232.3638839	206.0128246	438.3767085	1	1	72	90
110	44600.32	3	4	0	74	78.74	96.41	53	696.1	541.8	89.63367707	74.31914897	163.952826	1	1	72	90
111	44600.33	3	4	0	74	79.33	90.06	52.9	754.7	549.1	555.2256446	511.7777939	1067.003438	0	0	72	90
112	44600.33	3	4	0	74.1	79.32	84.93	53	778.1	558.8	1127.190031	1032.713277	2159.903308	0	0	72	90
113	44600.33	3	4	0	74.1	78.9	87.87	52.8	731.8	555.7	580.8960652	523.9128429	1104.808908	1	1	72	90
114	44600.33	3	4	0	74.2	78.77	95.07	52.9	699.3	545.2	88.82559289	74.00155188	162.8271448	1	1	72	90
115	44600.33	3	4	0	74.2	79.28	92.51	53.2	734.3	547.1	89.21277846	74.35879008	163.5715685	0	0	72	90
